ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate (Hours),Parent
16,User Story,As a platform engineer I can run a single Terraform apply to provision the complete GKE staging cluster with service mesh and observability stack,"Infrastructure as code ensures the staging environment is reproducible, auditable, and portable. A single Terraform apply should provision everything from scratch — no manual console clicks. The observability stack must be running before any service is deployed so traces and metrics are captured from day one. Istio mTLS must be enforced at cluster level to match the production security posture. Reference: Wiki/12-infrastructure.md, ADR-026 (GKE Autopilot), Wiki/11-security-compliance.md.","- terraform apply -target=module.gke succeeds; cluster appears in GCP console
- kubectl get nodes returns 3+ Autopilot nodes in Ready state
- istioctl analyze returns no errors or warnings on the cluster
- Kiali dashboard (or Grafana Istio dashboard) shows mTLS mode: STRICT for all namespaces
- Prometheus scrapes metrics; test metric scriptos_hello_requests_total visible in Grafana
- OpenTelemetry collector receives trace spans; spans visible in Jaeger/Tempo UI
- Loki receives logs from all pods; log query for a test pod returns results
- External Secrets Operator syncs a test secret from GCP Secret Manager to Kubernetes Secret",1,New,ScriptOS,ScriptOS\Sprint 0,infrastructure; gke; istio; observability; sprint-0,8,,Cloud Infrastructure Provisioning
17,Task,Write Terraform configuration for GKE Autopilot cluster,"Create infra/terraform/gke.tf. Provider: google (region us-central1, project var.project_id). Resource: google_container_cluster with enable_autopilot = true, release_channel = REGULAR, network/subnetwork from VPC module, workload_identity_config enabled. Create infra/terraform/vpc.tf for the VPC and subnet. Create infra/terraform/variables.tf with: project_id, region, environment (staging/production). Create infra/terraform/outputs.tf exporting cluster endpoint, CA cert, and kubeconfig generation command. Add to CI: terraform fmt check on PR.",,1,New,ScriptOS,ScriptOS\Sprint 0,terraform; gke; sprint-0,,16,As a platform engineer I can run a single Terraform apply to provision the complete GKE staging cluster with service mesh and observability stack
18,Task,Write Helm values and installation script for Istio service mesh,"Create infra/helm/istio/ directory. Write install-istio.sh: use istioctl install with IstioOperator manifest. Write infra/helm/istio/operator.yaml: profile: default, components.pilot.k8s.resources (set appropriate limits for Autopilot), meshConfig.accessLogFile: /dev/stdout, meshConfig.enableTracing: true, meshConfig.defaultConfig.tracing.zipkin.address pointing to OTel collector. Create PeerAuthentication resource (infra/k8s/istio/peer-auth.yaml) with STRICT mTLS mode for the scriptos namespace. Create AuthorizationPolicy allowing service-to-service traffic within mesh.",,1,New,ScriptOS,ScriptOS\Sprint 0,istio; service-mesh; security; sprint-0,,8,As a platform engineer I can run a single Terraform apply to provision the complete GKE staging cluster with service mesh and observability stack
19,Task,Deploy OpenTelemetry collector and configure trace and metric pipelines,"Create infra/k8s/otel/collector.yaml: OpenTelemetry Collector DaemonSet with OTLP gRPC receiver (port 4317), OTLP HTTP receiver (port 4318). Processors: batch, memory_limiter. Exporters: (1) Prometheus exporter for metrics, (2) Jaeger/Tempo exporter for traces, (3) Loki exporter for logs. Create ConfigMap with otel-collector.yaml config. Write Kubernetes Service exposing ports 4317 and 4318. Create namespace-level annotation to auto-inject OTel SDK env vars into all pods (OTEL_EXPORTER_OTLP_ENDPOINT pointing to collector service).",,1,New,ScriptOS,ScriptOS\Sprint 0,observability; otel; sprint-0,,8,As a platform engineer I can run a single Terraform apply to provision the complete GKE staging cluster with service mesh and observability stack
20,Task,Deploy kube-prometheus-stack for Prometheus and Grafana,"Add kube-prometheus-stack Helm chart to infra/helm/kube-prometheus/. Write values.yaml: grafana.adminPassword from Secret, prometheus.prometheusSpec.storageSpec (10Gi PVC for staging), grafana.dashboardProviders pointing to infra/helm/kube-prometheus/dashboards/. Add pre-built dashboards for: GKE node metrics, NATS JetStream, Postgres (postgres-exporter), Redis, Istio service mesh. Create Grafana Ingress with TLS (staging.scriptos.internal). Document: how to add new dashboards via ConfigMap.",,2,New,ScriptOS,ScriptOS\Sprint 0,prometheus; grafana; observability; sprint-0,,8,As a platform engineer I can run a single Terraform apply to provision the complete GKE staging cluster with service mesh and observability stack
21,Task,Deploy Loki and Promtail for log aggregation,"Add Loki + Promtail Helm chart to infra/helm/loki/. Use Loki monolithic mode (single binary) for staging (saves cost; distributed mode for production in Sprint 18). Configure Promtail DaemonSet to scrape all pod logs and add Kubernetes labels (namespace, pod, container, app) as Loki stream labels. Configure Loki retention: 14 days for staging. Add Loki as a data source in Grafana. Create sample LogQL queries for common patterns (error rate by service, slow gRPC calls). Document: how to query logs in Grafana.",,2,New,ScriptOS,ScriptOS\Sprint 0,logging; loki; observability; sprint-0,,8,As a platform engineer I can run a single Terraform apply to provision the complete GKE staging cluster with service mesh and observability stack
22,Task,Configure External Secrets Operator for GCP Secret Manager integration,"Install External Secrets Operator (ESO) via Helm into the scriptos namespace. Create ClusterSecretStore resource pointing to GCP Secret Manager using Workload Identity (no service account key files). Create SecretStore for each namespace. Create ExternalSecret resources for: postgres-connection-string, redis-url, neo4j-uri, neo4j-password, elasticsearch-api-key, temporal-tls-cert, temporal-tls-key, jwt-rs256-private-key, anthropic-api-key, openai-api-key, s3-access-key, s3-secret-key. Refresh interval: 1h. Document: how to add new secrets to Secret Manager and reference in pods.",,1,New,ScriptOS,ScriptOS\Sprint 0,secrets; security; devops; sprint-0,,8,As a platform engineer I can run a single Terraform apply to provision the complete GKE staging cluster with service mesh and observability stack
23,User Story,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods,"The build order for services is blocked until all data stores are available. Every service has hard dependencies on one or more data stores. A service that starts before its database is ready will crash-loop. This user story ensures all Tier 0 infrastructure (per the Service Bring-Up Dependency Order in wiki/15) is running before Sprint 1 service development begins. Reference: Wiki/15-roadmap.md Sprint 0 tasks, Wiki/12-infrastructure.md.","- Cloud SQL Postgres 16 is accessible from GKE via private IP; psql connection succeeds from within cluster
- Redis is accessible; redis-cli ping returns PONG from a test pod
- NATS JetStream is accessible; nats stream ls returns empty list (no streams yet); JetStream enabled
- Neo4j Aura is provisioned; Cypher query via Bolt protocol from test pod returns server version
- Elasticsearch 8.9 cluster health returns green; index creation API call succeeds
- Temporal Cloud namespace scriptos is active; temporal workflow list returns empty (no workflows yet)
- S3 buckets exist; test PutObject and GetObject from GKE workload identity succeeds
- Atlas CLI runs atlas schema apply on packages/db against empty Postgres without errors",1,New,ScriptOS,ScriptOS\Sprint 0,infrastructure; databases; sprint-0,8,,Cloud Infrastructure Provisioning
24,Task,Provision Cloud SQL PostgreSQL 16 instance via Terraform,"Create infra/terraform/postgres.tf. Resource: google_sql_database_instance with database_version = POSTGRES_16, settings.tier = db-g1-small (staging), settings.ip_configuration.ipv4_enabled = false (private IP only), settings.ip_configuration.private_network pointing to VPC, settings.backup_configuration enabled (daily, 7-day retention for staging). Create google_sql_user for the application user. Store connection string in Secret Manager via google_secret_manager_secret resource. Configure Cloud SQL Auth Proxy as a sidecar in service pods (add annotation to Deployment template).",,1,New,ScriptOS,ScriptOS\Sprint 0,postgres; terraform; sprint-0,,8,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
25,Task,Provision Redis Memorystore Standard tier and verify connectivity from GKE,"Create infra/terraform/redis.tf. Resource: google_redis_instance with tier = STANDARD_HA (for staging; 1 GB memory), connect_mode = PRIVATE_SERVICE_ACCESS, redis_version = REDIS_7_0. Store Redis URL (redis://<ip>:6379) in Secret Manager. Create a verification Job in Kubernetes that runs redis-cli ping and logs the result. Document: Redis is used for (1) CRDT doc state cache, (2) session cache, (3) pub/sub for awareness, (4) rate limiting via Lua scripts. Reference: Wiki/07-workflow-orchestration.md.",,1,New,ScriptOS,ScriptOS\Sprint 0,redis; terraform; sprint-0,,8,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
26,Task,Deploy NATS JetStream 3-node cluster on GKE via Helm,"Create infra/helm/nats/values.yaml using the official NATS Helm chart. Configure: replicas: 3, jetstream.enabled: true, jetstream.fileStore.enabled: true with 5Gi PVC per node, cluster.enabled: true, natsbox.enabled: true (for debugging). Expose client port 4222 as ClusterIP service. Configure NATS accounts for service isolation (future: per-service credentials). Store NATS URL in Secret Manager. Write a verification script that creates a test JetStream stream and publishes/consumes a message. Document: all NATS subjects used in ScriptOS (script.checkpointed, breakdown.updated, supervisor.*) in packages/events/subjects.ts.",,1,New,ScriptOS,ScriptOS\Sprint 0,nats; messaging; sprint-0,,8,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
27,Task,Provision Neo4j Aura instance and store credentials in Secret Manager,"Provision Neo4j Aura Professional instance via the Neo4j Aura console (not Terraform — Aura does not have a Terraform provider as of 2026). Region: us-central1 (or nearest available). Instance size: 1 GB RAM (staging). Store in GCP Secret Manager: NEO4J_URI (bolt+s://...), NEO4J_USERNAME, NEO4J_PASSWORD. Create a verification Kubernetes Job that runs a Cypher query (RETURN 1 AS ok) and logs the result. Document: when to evaluate switching to self-hosted Neo4j on GKE (trigger: Aura costs exceed $800/month per risk register in wiki/15). Reference: ADR-002.",,1,New,ScriptOS,ScriptOS\Sprint 0,neo4j; database; sprint-0,,4,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
28,Task,Provision Elasticsearch 8.9 cluster on Elastic Cloud and store API key in Secret Manager,"Provision Elasticsearch 8.9+ cluster on Elastic Cloud (not self-hosted for staging — reduces operational burden). Configuration: 1 zone, 4 GB RAM hot tier (staging). Enable: machine learning (for future vector inference), APM integration optional. Create an API key scoped to the scriptos index pattern. Store in Secret Manager: ELASTICSEARCH_URL, ELASTICSEARCH_API_KEY. Create a verification Job that calls the /_cluster/health endpoint and asserts status: green. Document: when to evaluate self-hosted Elasticsearch (trigger: egress costs or data residency requirement). Reference: ADR-005, Wiki/10-search.md.",,1,New,ScriptOS,ScriptOS\Sprint 0,elasticsearch; search; sprint-0,,4,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
29,Task,Provision Temporal Cloud namespace and store TLS certificates in Secret Manager,"Sign up for Temporal Cloud and provision a namespace named scriptos-staging in us-central1. Download: CA certificate, client certificate, client private key for mTLS connection. Store in GCP Secret Manager: TEMPORAL_ADDRESS (e.g. scriptos-staging.a1b2c.tmprl.cloud:7233), TEMPORAL_NAMESPACE, TEMPORAL_TLS_CERT (base64), TEMPORAL_TLS_KEY (base64). Create a test connection from a pod using the Temporal TypeScript SDK: temporalClient.workflowService.getSystemInfo() must succeed. Document: Temporal task queues used in ScriptOS — PUBLISH_SAGA, IMPORT_SAGA, CALL_SHEET, REVISION_DIST. Reference: ADR-004, Wiki/07-workflow-orchestration.md.",,1,New,ScriptOS,ScriptOS\Sprint 0,temporal; orchestration; sprint-0,,4,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
30,Task,Create S3 buckets with IAM roles for GKE Workload Identity via Terraform,"Create infra/terraform/s3.tf (AWS provider). Resources: aws_s3_bucket for scriptos-media-staging, scriptos-exports-staging, scriptos-backups-staging. Bucket configs: versioning enabled, server-side encryption (AES-256), public access blocked. CORS policy on scriptos-media (allow PUT from app domain for direct upload). Lifecycle rule on scriptos-backups: transition to Glacier after 30 days. Create IAM role with policies: s3:PutObject + s3:GetObject on media bucket, s3:PutObject on exports bucket. Use GCP Workload Identity Federation to allow GKE pods to assume this AWS role without access keys. Store role ARN and bucket names in Secret Manager.",,1,New,ScriptOS,ScriptOS\Sprint 0,s3; storage; terraform; sprint-0,,8,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
31,Task,Install Atlas CLI and initialize packages/db Atlas project with empty migration baseline,"Install Atlas CLI globally in the CI Docker image and document installation for local dev. In packages/db/, create: atlas.hcl (project config referencing each service schema file), a schemas/ directory. Run atlas schema inspect on empty Postgres and save as baseline. Verify atlas schema apply runs without errors on a fresh Postgres instance. Write the first actual schema: auth.hcl containing auth.users, auth.organizations, auth.sessions, auth.refresh_tokens tables (column definitions per wiki/03-data-model.md auth tables). Verify apply creates all tables and indexes. Document: Atlas HCL format and conventions used in this project.",,1,New,ScriptOS,ScriptOS\Sprint 0,atlas; migrations; database; sprint-0,,8,As a platform engineer all data stores and messaging infrastructure are provisioned in staging and accessible from service pods
32,Feature,Authentication Service,"Build the Auth Service: OIDC/SAML SSO login (Google, Okta), JWT issuance (RS256, 15-min access + 30-day refresh), 7-role RBAC, row-level security pattern, and GraphQL subgraph. This is the first microservice deployed to staging. Every other service in the platform depends on the Auth Service for identity context. The Auth Service issues the JWT that the HTTP Gateway validates — no other service touches raw credentials. Reference: Wiki/16-system-design.md Auth Service, Wiki/11-security-compliance.md, Wiki/15-roadmap.md Sprint 1.","- Google OAuth login: browser redirects to Google, authorises, callback returns JWT to client
- JWT contains: sub (user UUID), org (org UUID), roles (array), tier (pricing tier), iat, exp
- RS256 JWT validates correctly against public key exposed at /auth/.well-known/jwks.json
- Refresh token rotation works: POST /auth/refresh returns new access + refresh; old refresh invalidated
- 7 RBAC roles defined; X-Roles header injected at gateway; producer-only endpoint returns 403 for writer role
- Auth Service GraphQL subgraph: query { me { id email roles } } returns correct user data through Apollo Router
- Atlas migration for auth.* tables applies cleanly to fresh Postgres",1,New,ScriptOS,ScriptOS\Sprint 1,auth; security; sprint-1,,,Platform Foundation
33,User Story,As a user I can sign in with my Google Workspace or Okta SSO account and receive a secure JWT that grants access to ScriptOS,"Writers, producers, supervisors, and editors all log in via their studio's identity provider — they should not have a separate ScriptOS password. Google Workspace covers indie and small studio users; Okta covers enterprise studios with managed identity. The JWT must be short-lived (15 min) to limit exposure if leaked; the refresh token enables seamless session renewal without re-authentication. All authentication events must be logged to the immutable audit log for SOC 2 compliance. Reference: Wiki/11-security-compliance.md, ADR (Auth)","- GET /auth/google/login returns HTTP 302 redirect to Google OAuth consent screen
- POST /auth/google/callback with valid code creates user record if new; returns access_token (15-min RS256 JWT) and sets refresh_token httpOnly cookie (30-day)
- GET /auth/me with valid Bearer token returns { id, email, name, orgId, roles, tier }
- POST /auth/refresh with valid refresh cookie returns new access_token; old refresh token is invalidated (rotation)
- Expired access token returns 401 with WWW-Authenticate: Bearer error=invalid_token
- Okta SAML: SP-initiated login flow works end-to-end (test with Okta developer account)
- Every login attempt (success or failure) written to audit log with timestamp, IP, user agent",1,New,ScriptOS,ScriptOS\Sprint 1,auth; sso; jwt; sprint-1,8,,Authentication Service
34,Task,Define Atlas schema for auth database tables,"Create packages/db/schemas/auth.hcl with HCL schema definitions for all auth tables. Tables required: auth.users (id UUID PK, email VARCHAR UNIQUE NOT NULL, name VARCHAR, google_sub VARCHAR UNIQUE, okta_sub VARCHAR UNIQUE, created_at TIMESTAMPTZ DEFAULT now(), updated_at TIMESTAMPTZ, last_login_at TIMESTAMPTZ, is_active BOOL DEFAULT true), auth.organizations (id UUID PK, name VARCHAR NOT NULL, tier VARCHAR NOT NULL CHECK IN (indie, professional, studio), created_at TIMESTAMPTZ), auth.organization_members (org_id UUID FK organizations, user_id UUID FK users, role VARCHAR NOT NULL, joined_at TIMESTAMPTZ, PRIMARY KEY (org_id, user_id)), auth.refresh_tokens (id UUID PK, user_id UUID FK users, token_hash VARCHAR UNIQUE NOT NULL, expires_at TIMESTAMPTZ NOT NULL, revoked_at TIMESTAMPTZ, created_at TIMESTAMPTZ). Add indexes: users(email), users(google_sub), refresh_tokens(token_hash). Run atlas schema apply; verify tables and indexes created.",,1,New,ScriptOS,ScriptOS\Sprint 1,auth; database; atlas; sprint-1,,8,As a user I can sign in with my Google Workspace or Okta SSO account and receive a secure JWT that grants access to ScriptOS
35,Task,Implement OIDC provider integration for Google and Okta using openid-client,"In services/auth/src/providers/: create google.provider.ts and okta.provider.ts using the openid-client npm library. Google: use discovery URL accounts.google.com/.well-known/openid-configuration, scope: openid email profile. Okta: use organisation-specific discovery URL, scope: openid email profile groups. Both providers: implement (1) buildAuthorizationUrl(state, nonce) returning redirect URL, (2) exchangeCode(callbackParams) returning UserInfo. Store client_id and client_secret in env vars (from Secret Manager via ESO). Write unit tests using nock to mock OIDC discovery and token endpoints.",,1,New,ScriptOS,ScriptOS\Sprint 1,auth; oidc; sprint-1,,8,As a user I can sign in with my Google Workspace or Okta SSO account and receive a secure JWT that grants access to ScriptOS
