ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
305,Epic,Story Development GA Hardening & Launch,"Sprint 17 delivers the story development layer: beat board data model (Neo4j beats → scenes with arc assignment), arc CRUD (protagonist/antagonist/subplot), beat board UI (index cards on virtual corkboard), arc swimlane view, accounting export (EP Budgeting XLSX), Elasticsearch BM25/RRF tuning, faceted search, and cross-episode continuity timeline UI. Sprint 18 is GA hardening: separate production GKE cluster, multi-region DR (Postgres read replica, RPO < 5 min, RTO < 15 min), PagerDuty alerting, Tier 1 incident runbooks, Atlas migration rollback verification, Unleash P2 feature flags, y-redis migration (Hocuspocus → y-redis), pricing enforcement (Indie/Professional tiers), full SCIM provisioning for enterprise SSO, onboarding flow (< 5 min), empty state UX, in-app help, mobile-responsive web, and error states. GA milestone at Sprint 18 end (Week 38). Reference: Wiki/15-roadmap.md Sprints 17–18.","Beat board UI: cards reorderable and linked to script scenes; Cross-episode continuity timeline rendered for a 3-episode test project; Accounting export produces valid EP Budgeting XLSX; Hybrid search tuned — Recall@10 improved ≥ 15% and faceted filters working; Production GKE cluster live with DNS configured; DR failover tested — RPO < 5 min and RTO < 15 min; Onboarding flow completed by new user in < 5 minutes; y-redis deployed and tested with 20 concurrent CRDT editors; All Tier 1 runbooks written and reviewed; GA milestone: full platform available",Critical,New,ScriptOS,ScriptOS\Sprint 17-18,"story-development,beat-board,ga-hardening,y-redis,scim,onboarding,dr,devops",,
316,Task,Build beat board UI: virtual corkboard canvas (react-dnd or @dnd-kit) with index cards; card shows beatType arc title and scene link chip; drag-to-reorder calls reorderBeats mutation; new card form in slide-over panel,"Cards draggable; order updates persist; Scene link chip navigates to scene in editor; Card colour coded by beat type (setup/confrontation/resolution); Empty state shows + Add First Beat prompt",High,New,ScriptOS,ScriptOS\Sprint 17,"frontend,beat-board,react,dnd",,8,310
317,Task,Build arc swimlane view: horizontal swimlane per arc across story day axis; beat cards placed at story day positions; cross-episode continuity timeline view calling timelineView(projectId) API showing story days across all episodes with assertion pins,"Arc swimlane renders correctly for a 3-arc test project; Cross-episode timeline shows story days from 3 episodes in chronological story-day order; Assertion pins clickable to show assertion detail",High,New,ScriptOS,ScriptOS\Sprint 17,"frontend,arc-view,continuity,timeline",,8,310
318,Task,Continuity Service: implement timelineView(projectId) gRPC method returning all StoryDay nodes across episodes sorted by story day number with assertions and violation counts; extend GraphQL subgraph with continuitySummary(projectId) query,"timelineView returns story days in correct order across 3-episode test project; continuitySummary returns violation count per story day; response time < 200 ms for 100 story days",High,New,ScriptOS,ScriptOS\Sprint 17,"continuity-service,grpc,graphql,neo4j",,6,310
319,Task,Budget Service: implement accountingExport(budgetId) generating EP Budgeting-compatible XLSX; map ScriptOS account codes to EP Budgeting account code schema; write to S3 presigned URL; expose via GraphQL mutation exportToEPBudgeting,"Exported XLSX opens in Excel without errors; Account codes present in correct columns; Fringes calculated; Summary totals match line totals; Download completes within 10 s for 500-line budget",High,New,ScriptOS,ScriptOS\Sprint 17,"budget-service,xlsx,accounting,s3",,8,311
320,Task,Elasticsearch hybrid search tuning: run offline eval harness on 200-query golden set; tune BM25 b (0.3–0.8) and k1 (0.8–2.0) parameters and RRF vector weight; implement faceted aggregations (episode scene_type character status); add faceted filter UI in advanced search panel,"Recall@10 improves ≥ 15% vs baseline on golden set; Episode facet counts match scene distribution; Character facet returns only scenes with that character speaking; Combined facets AND-compose correctly",High,New,ScriptOS,ScriptOS\Sprint 17,"search,elasticsearch,bm25,rrf,facets,tuning",,8,311
321,Task,DevOps: provision production GKE Autopilot cluster separate from staging; configure DNS and TLS (cert-manager); deploy all 15 services to production with production-grade resource limits; run smoke test suite against production after deploy,"kubectl get nodes returns 3+ nodes in production cluster; All 15 services healthy (readinessProbe passing); Smoke test: create project → import FDX → publish saga completes → watermark verified; DNS + TLS certificates valid",Critical,New,ScriptOS,ScriptOS\Sprint 18,"devops,gke,production,deployment",,8,312
322,Task,DevOps: provision Postgres read replica in secondary GCP region via Cloud SQL cross-region replica; configure connection string failover in app config; run DR drill (primary shutdown → manual failover → RTO measurement); document RPO/RTO results,"Read replica replication lag < 30 s under normal load; DR drill: failover completes within 15 min (RTO); data loss < 5 min (RPO); Connection string ENV updated to point to replica after failover; Results documented in runbook",Critical,New,ScriptOS,ScriptOS\Sprint 18,"devops,dr,postgres,failover,rto,rpo",,6,312
323,Task,DevOps: configure PagerDuty integration in Prometheus Alertmanager; define alert rules (P99 > 1 s, error_rate > 1%, disk_usage > 80%, pod crash loop); write Tier 1 runbooks for DB failover / NATS outage / Temporal stuck workflow / cert expiry; verify Atlas migration rollback procedure on staging,"Test alert fires and pages on-call within 60 s; 4 Tier 1 runbooks in team knowledge base; Atlas rollback: apply migration → observe error → rollback → schema matches pre-migration state",Critical,New,ScriptOS,ScriptOS\Sprint 18,"devops,pagerduty,alerting,runbooks,atlas",,6,312
324,Task,y-redis migration: replace Hocuspocus with y-redis Deployment (y-redis image) + HPA (min 2 max 10 replicas) + y-redis Worker Deployment; update Collaboration Service to connect to y-redis instead of Hocuspocus; configure Redis CRDT stream key prefix; load test 20 concurrent editors for 30 min,"y-redis Deployment running; HPA scales on CPU > 60%; CRDT sync works for 20 concurrent editors on same document without data loss; Loro state converges after network partition simulation; Hocuspocus deployment removed",Critical,New,ScriptOS,ScriptOS\Sprint 18,"y-redis,collaboration,crdt,scaling,k8s",,8,312
325,Task,DevOps: create Unleash feature flags for all 13 P2 features (table-read-tts native-player location-scouting multilingual-export pitch-deck-gen marketplace mobile-app-ios budget-actuals callsheet-pdf-v2 search-semantic-v2 ai-storyboard watermark-digimarc legal-marketplace); all flags default off in production environment,"13 flags created in Unleash production environment; All default off; SDK integration verified: toggling flag in Unleash UI reflects in app within 30 s; No P2 feature visible to any user without explicit flag enable",High,New,ScriptOS,ScriptOS\Sprint 18,"devops,unleash,feature-flags,p2",,4,312
326,Task,Auth Service: implement full SCIM 2.0 provisioning endpoint (/scim/v2/Users and /scim/v2/Groups); support POST (create) PATCH (update/deactivate) GET (list/filter) per RFC 7644; test with Okta SCIM connector; pricing enforcement middleware: Indie tier blocks AI mutations beyond monthly quota and Professional tier enforces token cap via Redis counter,"SCIM POST creates user and sends welcome email; SCIM PATCH with active=false deactivates user and revokes JWT; SCIM GET with filter=userName returns correct user; Okta test app provisions and deprovisions user; Indie quota block returns 402 with quota_exceeded error; Professional token cap enforced via Redis sliding window",High,New,ScriptOS,ScriptOS\Sprint 18,"auth-service,scim,okta,pricing,quota",,8,313
327,Task,Frontend: implement full onboarding wizard (4 steps: org create → project create → script import → invite collaborator); empty state components for script list / scene list / breakdown panel / schedule / budget; in-app help system (? shortcut opens keyboard cheat sheet modal); mobile-responsive CSS (768 px tablet breakpoint) for editor and dashboard; error state components (API error toast with retry; no blank screens),"New user completes 4-step onboarding in < 5 min in usability test; All empty states render with CTA buttons pointing to first action; ? key opens help modal showing all shortcuts; Editor usable on 768 px viewport (no horizontal scroll); Any GraphQL error shows toast with message; No blank white screens on any route error",High,New,ScriptOS,ScriptOS\Sprint 18,"frontend,onboarding,empty-states,help,mobile,ux",,8,313
